ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
348,7/8/2014 12:46,KARACA-MARMARIS (MUGLA) [South West 7.3 km]       İlksel,36.9015,28.1228,2,1.7,02:05.7
349,8/5/2014 5:05,CAMLI-MARMARIS (MUGLA)                            İlksel,36.9955,28.2588,1.9,15.9,02:05.9
350,8/22/2014 9:55,CAMLI-MARMARIS (MUGLA)                            İlksel,36.9805,28.2675,2.2,7.4,02:05.9
351,8/22/2014 19:28,CETIBELI-MARMARIS (MUGLA)                         İlksel,36.973,28.2945,2.6,9.1,02:05.9
352,8/6/2014 21:42,CETIBELI-MARMARIS (MUGLA)                         İlksel,37.0027,28.2457,2.2,13,02:05.9
353,8/11/2014 4:11,KARACA-MARMARIS (MUGLA)                           İlksel,36.9213,28.1202,1.5,11.6,02:05.9
354,8/8/2014 2:38,KARACA-MARMARIS (MUGLA)                           İlksel,36.9342,28.2272,1.9,10.9,02:05.9
355,8/25/2014 20:20,ADAKOY-MARMARIS (MUGLA)                           İlksel,36.8435,28.3237,2.1,10.6,02:05.9
356,8/16/2014 8:04,TURUNC-MARMARIS (MUGLA)                           İlksel,36.8038,28.3122,1.3,10.1,02:05.9
357,8/9/2014 23:54,KARACA-MARMARIS (MUGLA)                           İlksel,36.9333,28.2153,1.8,10.8,02:05.9
358,8/17/2014 5:15,MARMARIS ACIKLARI-MUGLA (AKDENIZ)                 İlksel,36.8388,28.4673,1.6,38.2,02:05.9
359,9/23/2014 17:16,BELDIBI-MARMARIS (MUGLA)                          İlksel,36.9147,28.287,1.1,17.8,02:06.1
